name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
宮古市立宮古西中学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6402216,141.9133491"
宮古市立藤原小学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.636755,141.9563535"
宮古市立磯鶏小学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6271525,141.955091"
宮古市立河南中学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6219912,141.9542753"
宮古消防署,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6472576,141.946755"
はまゆり学園,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.6973109,141.9505702"
樫内地区集会施設,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.711468,141.9706144"
市立津軽石中学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.5722474,141.9391839"
県立宮古北高等学校,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.7300413,141.9513028"
神田地区集会施設,岩手県,,,10.8,0.5,0.8,3.9,8.9,13.5,16.5,20.3,22.1,19.1,13.6,8.1,2.9,,"https://www.google.com/maps?q=39.7339195,141.9427825"
